name_in_database,domain,authors,journal,year,expt_in_paper,stimuli,n_subjects_master,min_trials,max_trials,n_tasks_conditions,confidence_type,confidence_scale_raw,conf_simultaneous,conf_min_est,conf_max_est,conf_n_levels_est,conf_is_discrete_est,manipulations,notes_master,task_type,csv_found,csv_error,csv_columns,csv_n_columns,csv_n_rows,csv_n_subjects,csv_file_size_bytes,is_multi_task,n_tasks_detected,task_suffixes,has_explicit_accuracy,has_any_rt,has_decision_rt,has_separate_conf_rt,rt_type,conf_min_actual,conf_max_actual,conf_n_unique_actual,conf_is_discrete_actual,conf_n_levels_actual,conf_non_numeric,stimulus_is_binary,stimulus_values,response_is_binary,response_values,has_correct_col,has_error_col,feedback,response_device,data_collection_dates,auto_tags,n_tags,tag_notes
Arbuzova_2021_expt1,Motor,"Arbuzova, Peters, Röd, Koß, Filevich",Unpublished,,,ball throw trajectories,41,324,324,2,confidence rating,continuous (0-100),no,0.0,100.0,,False,"task difficulty, visuo-motor vs. motor vs. visual","visuo-motor = ball/lever shown during throw, motor = ball/lever not shown during throw, visual = no active throw, replay shown instead",binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difference, Condition",8,13284,41.0,402169,False,1,,False,True,True,True,separate,0.0,100.0,101,False,,,True,"1, 2",True,"1.0, 2.0",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,continuous confidence → binning required for meta-d'
Arbuzova_unpub_3,Mixed,Arbuzova & Filevich,Unpublished,,,ball throw angle / paired images / visual patterns,41,180,762,4,Confidence rating,4-point,no,1.0,4.0,4.0,True,Task difficulty (angle difference / line brightness difference / number of images studied ); in motor task: visuomotor vs motor,"visuomotor = lever shown during throw, motor = lever not shown during throw",binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difficulty, Task",8,28647,41.0,1612267,False,1,,False,True,True,True,separate,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1.0, 2.0",False,False,"Skittles: After each block, subjects were told how many times they hit the target. No feedback on the type-1 response was given.","Skittles: Custom-made response pad with 4 keys for confidence ratings on top and 4 keys for left, right, top and bottom.",12.02.2020-13.03.2020 and 10.07.2020-24.07.2020 (interrupted by the Covid-19 pandemic restrictions).,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Bang_2019_Exp1,Perception,"Bang, Shekhar, Rahnev",JEP:General,2019.0,Expt 1,Gabors,12,3434,3679,3,confidence rating,4-point,no,1.0,4.0,4.0,True,,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, SN, Day, Accuracy, Condition, Block",11,42426,12.0,2240984,False,1,,True,True,True,True,separate,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1, 2",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Bang_2019_Exp2,Perception,"Bang, Shekhar, Rahnev",JEP:General,2019.0,Expt 2,Gabors,201,200,200,2,confidence rating,4-point,no,1.0,4.0,4.0,True,,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Task, Catch_trial, ContrastOrTilt",9,40200,201.0,1203731,False,1,,False,True,True,True,separate,1.0,4.0,4,True,4.0,,True,"0, 1",True,"0, 1",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
data_Bocheva_unpub_Expt1,Perception,Bocheva & Rahnev,Psychonomic Bulletin & Review,2025.0,Expt 1,Gabors,45,1000,1000,2,confidence rating,4-point,no,1.0,4.0,4.0,True,left- vs right-handed responses,keyboard only,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Contrast, Condition, Accuracy",9,45000,45.0,2682220,False,1,,True,True,True,True,separate,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1, 2",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
data_Bocheva_unpub_Expt2,Perception,Bocheva & Rahnev,Psychonomic Bulletin & Review,2025.0,Expt 2,Gabors,51,1000,1000,2,confidence rating,4-point,no,1.0,4.0,4.0,True,left- vs right-handed responses,"keyboard and mouse (where left hand = keyboard, right hand = mouse)",binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Contrast, Condition, Accuracy",9,51000,51.0,3013641,False,1,,True,True,True,True,separate,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1, 2",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
CalderTravis_unpub,Perception,"Calder-Travis, Charles,  Bogacz, Yeung",Unpublished,,,Clouds of dots,48,640,640,2,confidence rating,continuous (-90 to 90),no,-90.0,90.0,,False,free response time vs response time controlled by experimenter,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, Dot_diff, Stim_duration, Condition, Stim_ref",9,30720,48.0,1767253,False,1,,False,True,True,False,decision_only,-89.7191405853171,90.0,13093,False,,,True,"1, 2",True,"1.0, 2.0",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,continuous confidence → binning required for meta-d'
Chandravadia_2020,Memory, Chandravadia et al.,Scientific Data,2020.0,Expt 1,images,87,100,100,1,confidence rating,3-point,yes,1.0,3.0,3.0,True,,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Accuracy, Category, Response_Raw, Variant, patientNumber, ptDiagnosis, age, sex",13,8700,87.0,318533,True,2,Raw,True,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"0, 1",True,"0, 1",False,False,Trial-by-trial feedback was not provided.,Cedrus Response Pad (RB-740),May 2005 - April 2019.,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,"multi-task (2 tasks, suffixes=['Raw']): run analyses per task"
Charalampaki_unpub_1,Motor,Charalampaki & Filevich,Unpublished,,,Ball throw trajectories,41,544,544,2,confidence rating,continuous (0-100),no,0.0,100.0,,False,Task difficulty (difference in velocity between real and altered trajectories),,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difficulty, Condition",8,22304,41.0,1325259,False,1,,False,True,True,True,separate,0.0,100.0,15600,False,,,True,"0, 1",True,"0, 1",False,False,Participants did not receive any feedback on their performance.,"Skittles lever (see Apparatus section). To select a trajectory, participants rotated the lever in either direction, and every 20 degrees rotation would select a different trajectory (indicated on the screen by a thicker line). The order of which trajectory appeared thicker at the beginning of the first-order task was pseudo-randomised at the beginning of the experiment. Participants placed their index finger on the sensor to commit their response.",Location of data collection:,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,continuous confidence → binning required for meta-d'
Chetverikov_2014_exp3,Perception,Chetverikov & Filippova,Acta Psychologica,2014.0,Expt 3,degraded images,40,25,25,2,confidence rating,continuous (0-100),no,0.0,100.0,,False,rating order,observers also rated how much do they like the image,multi_class,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difficulty, Condition, Accuracy, ImgID, Liking, RT_liking, SbjAge, SbjSex",14,1000,40.0,114262,False,1,,True,True,True,True,separate,0.0,100.0,101,False,,,False,"Animal, Human, Object",False,"Animal, Human, Object",False,False,no feedback was provided.,"Keyboard for categorization, mouse for ratings.",2013.,"accuracy, confidence_accuracy, confidence_rt, mean_confidence, mean_rt, rt_distribution, type2_auc, type2_roc",8,multi-class: 3-class (Animal/Human/Object); has Accuracy; d'/criterion not applicable
Chetverikov_2014_exp4,Perception,Chetverikov & Filippova,Acta Psychologica,2014.0,Expt 4,degraded images,30,117,117,2,confidence rating,continuous (0-100),no,0.0,100.0,,False,rating order,observers also rated how much do they like the image; images were either pleasant or unpleasant,multi_class,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difficulty, Condition, Accuracy, ImgID, Liking, RT_liking, ImgEmo, SbjAge, SbjSex",15,3510,30.0,442947,False,1,,True,True,True,True,separate,0.0,100.0,100,False,,,False,"Animal, Human, Object",False,"Animal, Human, Object",False,False,no feedback was provided.,"Keyboard for categorization, mouse for ratings.",2014.,"accuracy, confidence_accuracy, confidence_rt, mean_confidence, mean_rt, rt_distribution, type2_auc, type2_roc",8,multi-class: 3-class (Animal/Human/Object); has Accuracy; d'/criterion not applicable
Clark_2018,Perception,Clark & Merfeld,Journal of Neurophysiology,2018.0,Expt 1,vestibular self-motion,4,4199,4200,3,confidence rating,2-point,mixed,1.0,2.0,2.0,True,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, Stimulus Peak Velocity (deg/s), Accuracy, Trial in Block, Task",8,16798,4.0,798490,True,2,,True,False,False,False,none,1.0,2.0,2,True,2.0,,True,"-1.0, 1.0",True,"-1.0, 1.0",False,False,NO feedback was included.,"Subjects used a custom iPad application to record their responses. In the '2-stage binary/uncertainty' task, subjects were instructed 'You will use the iPad to record your responses in two phases. First, if you feel that you have rotated to your right, please press the right side of the screen with your right thumb. If you feel that you have rotated to your left, press the left side of the screen with your left thumb.' The iPad confirmed the response using a computer-generated voice ('left' or 'right'). This was followed by an indication of whether they were uncertain or not uncertain. Specifically the subjects were instructed, 'After you have made this first selection, you will indicate your confidence. If you are uncertain, press both the left and right sides of the screen at the same time. Otherwise tap the same side of the screen again to confirm your selection.' The iPad confirmed this second entry using a computer generated voice ('guess' or 'not a guess'). Thus, in the '2-stage binary/uncertainty' task, subjects first recorded their decision and then reported their confidence.",,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, meta_d_mle, type2_auc, type2_roc",9,"multi-task (2 tasks, suffixes=[]): run analyses per task"
Clark_unpub,Perception,Clark,Unpublished,,,vestibular self-motion,16,200,300,3,confidence rating,11-point,no,1.0,11.0,11.0,True,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, Peak_Velocity, Accuracy, Task",7,4600,16.0,100327,False,1,,True,False,False,False,none,50.0,100.0,11,True,11.0,,True,"-1, 1",True,"-1.0, 1.0",False,False,NO feedback was included.,"Verbal. Subjects reported verbally over a two-way communication system with the experiment operator, who recorded the responses. Subjects first reported the perceived direction of the motion. For example ""left"" or ""right"" (in the pitch Condition, it would be ""forward"" or ""backward""). Subjects were required respond with one of the two option, even if they felt like they had to guess. To confirm their direction response, subjects also pressed one of two buttons (e.g., in their left hand to indicate ""left""). Next subjects verbally reported their confidence (e.g., ""95 percent"").",January 2018 � June 2018.,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, meta_d_mle, type2_auc, type2_roc",9,
Constant_2022,Motor,"Constant, Salomon & Filevich",Unpublished,,Confidence-rating task,Virtual feedback of a finger movement,47,186,200,2,confidence rating,discrete (1-6),no,1.0,6.0,6.0,True,Sensory (high and low levels of brightness of the display),,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Noise, Difficulty, Error_trial",9,9343,47.0,275889,False,1,,False,True,True,True,separate,1.0,6.0,6,True,6.0,,True,"0, 1",True,"0.0, 1.0",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Denison_2018,Mixed,"Denison, Adler, Carrasco, Ma",PNAS,2018.0,,Gabors,12,1728,2160,1,confidence rating,4-point,yes,1.0,4.0,4.0,True,attention (via cue validity),,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Difficulty, Orientation",7,24624,12.0,1214609,False,1,,False,True,True,False,combined,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1, 2",False,False,Trial-by-trial feedback was not provided.,Keyboard,"April – June, 2016","accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,
Desender_2014,Cognitive,Desender et al,Psych Sci,2014.0,,arrows,86,528,528,1,subjective difficulty,2-point,no,1.0,2.0,2.0,True,masked prime arrows that were congruent vs incongruent,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Congruency, Accuracy, Training",9,45408,86.0,1639005,False,1,,True,True,True,True,separate,1.0,4.0,4,True,4.0,,True,"L, R",True,"L, R",False,False,Feedback was only presented during Training 1,azerty keyboard,November 2012,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Desender_2016,Cognitive,Desender et al.,Neuropsychologia,2016.0,,metacontrast masking arrows,31,642,680,1,subjective difficulty,2-point,no,1.0,2.0,2.0,True,congruent vs incongruent priming,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Congruency, Accuracy, Training",9,21042,31.0,814313,False,1,,True,True,True,True,separate,,,0,,,"diff, easy",True,"L, R",True,"L, R",False,False,Feedback was only presented during Training 1,qwerty keyboard,July 2013,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Desender_2018_Exp1,Perception,"Desender, Boldt, Yeung",Psychological Science,2018.0,1,Squircles,20,1104,1104,2*4,confidence rating,continuous (50-100),yes,50.0,100.0,,False,"Mean (high vs low) and Variance (High vs Low), and forced-choice vs free-choice",,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, RT_decConf, mean, sd, Condition, Training",11,22080,20.0,1006998,False,1,,False,True,True,True,separate,0.979999999999997,50.0,49,False,,,True,"0, 1",True,"0, 1",False,False,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,continuous confidence → binning required for meta-d'
Desender_2018_Exp2,Perception,"Desender, Boldt, Yeung",Psychological Science,2018.0,1,Squircles,50,1104,1104,2*4,confidence rating,continuous (50-100),yes,50.0,100.0,,False,"Mean (high vs low) and Variance (High vs Low), and forced-choice vs free-choice",,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, RT_decConf, mean, sd, Condition, Training",11,55200,50.0,2530129,False,1,,False,True,True,True,separate,0.979999999999997,50.0,49,False,,,True,"0, 1",False,"-1, 0, 1",False,False,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,continuous confidence → binning required for meta-d'
Desender_2021_Cognit,Perception,"Desender, Donner, Verguts",Cognition,2021.0,1,Dot motion discrimination,30,736,736,4*3*2,confidence rating,3 point or 6 point (depending on condition),mixed,1.0,3.0,3.0,True,"Motion coherence (4 levels: .05, .1, .2, .4) x evidence volatility (2 levels: high vs low) x confidence mode (3 levels:  together with response vs after the response without post-decision evidence vs after the response with post-decision evidence)",,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, RT_decConf, Coherence, Condition, Volatility, Training",11,22080,30.0,823556,False,1,,False,True,True,True,separate,-99.0,6.0,9,True,9.0,,True,"0, 1",True,"0.0, 1.0",False,False,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Desender_2021_PsyRes,Cognitive,"Desender, Sasanguie",Psychological Research,2021.0,1,Math assignments,80,220,264,7,confidence rating (prospective and retrospective),6 point scale,no,1.0,6.0,6.0,True,Math assignments of varying difficulty,,multi_class,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Correct, Stimulus1, Stimulus2, Solution, Confidence_prospective, Training",12,21076,80.0,879053,True,3,,True,True,True,True,separate,1.0,6.0,6,True,6.0,,False,"X*XX, XX*X, XX*XX, XX-X, XX-XX, XXX-XX, XXX-XXX",True,"0.0, 1.0",True,False,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, mean_confidence, mean_rt, rt_distribution, type2_auc, type2_roc",8,"multi-class: math problems; >2 types; has Correct col; d'/criterion not applicable; multi-task (3 tasks, suffixes=[]): run analyses per task"
Desender_2022_Exp1,Perception,"Desender, Vermeylen, Verguts",Nature Communications,2022.0,1,Dot discrimination,43,576,1296,2,confidence rating,6 point scale,no,1.0,6.0,6.0,True,Speed-accuracy tradeoff (Fast vs Accurate),,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Coherence, Condition, Training",9,30744,43.0,1573101,False,1,,False,True,True,True,separate,1.0,6.0,6,True,6.0,,True,"0, 1",True,"0, 1",False,False,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Desender_2022_Exp1S,Perception,"Desender, Vermeylen, Verguts",Nature Communications,2022.0,1S,Dot discrimination,40,360,1272,2,confidence rating,continuous (0-100),no,0.0,100.0,,False,Speed-accuracy tradeoff (Fast vs Accurate),,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Coherence, Condition, Training",9,27852,40.0,1615960,False,1,,False,True,True,True,separate,0.0,100.0,101,False,,,True,"0, 1",True,"0, 1",False,False,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,continuous confidence → binning required for meta-d'
